"Stock Name","lhsGrayCard_web_values__DQOxi","lhsGrayCard_web_redtext__dd7oX","lhsGrayCard_web_values__DQOxi 2","lhsGrayCard_web_values__DQOxi 3","lhsGrayCard_web_values__DQOxi 4","lhsGrayCard_web_greentext__zbrAw"
"Amal","983.75","(-2.32%)","1.00","21/04/2025","14/08/2025",""
"Anuh Pharma","90.92","","1.50","23/05/2025","14/08/2025","(+0.52%)"
"Morganite India","1,560.00","","19.00","22/05/2025","14/08/2025","(+6.50%)"
"Denta Water","309.15","(-1.01%)","2.50","22/07/2025","14/08/2025",""
"Munjal Auto Ind","72.27","","1.00","28/05/2025","14/08/2025","(+0.15%)"
"Nath Bio-Genes","172.87","(-0.23%)","2.00","29/04/2025","14/08/2025",""
"Sahyadri Ind","296.10","(-0.07%)","1.00","26/05/2025","14/08/2025",""
"Murudeshwar Cer","42.94","(-3.16%)","0.50","29/05/2025","14/08/2025",""
"Rossell India","67.90","","0.40","28/05/2025","14/08/2025","(+1.30%)"
"Shiva Texyarn","181.91","(-3.78%)","0.60","22/05/2025","14/08/2025",""
"Alkali Metals","86.93","(-0.36%)","0.50","19/05/2025","14/08/2025",""
"Power Finance","404.65","(-1.05%)","3.70","06/08/2025","18/08/2025",""
"Aarti Ind","375.10","(-0.89%)","1.00","08/05/2025","18/08/2025",""
"Ram Ratna Wires","675.30","(-0.44%)","2.50","29/05/2025","18/08/2025",""
"Lakshmi Elec","955.00","","4.00","08/05/2025","18/08/2025","(+3.02%)"
"DHP","647.10","(-4.67%)","4.00","30/05/2025","18/08/2025",""
"Bright Brothers","321.00","(-1.08%)","2.50","12/05/2025","18/08/2025",""
"Power Grid Corp","284.85","(-0.25%)","1.25","19/05/2025","19/08/2025",""
"Apollo Hospital","7,084.50","(-1.19%)","10.00","30/05/2025","19/08/2025",""
"Shyam Metalics","952.35","(-1.66%)","2.25","09/05/2025","19/08/2025",""
"JK Bank","102.21","(-0.38%)","2.15","05/05/2025","19/08/2025",""
"Ind Prud Invt","7,080.00","","110.00","27/05/2025","19/08/2025","(+0.57%)"
"Silver Touch Te","738.65","(-1.49%)","0.50","31/07/2025","19/08/2025",""
"Elixir Cap","113.65","(-1.17%)","1.25","16/05/2025","19/08/2025",""
"Sumedha Fiscal","59.76","(-0.65%)","1.00","16/05/2025","19/08/2025",""
"Senco Gold","332.35","(-2.57%)","1.00","29/05/2025","20/08/2025",""
"Sukhjit Starch","171.09","(-1.53%)","1.00","30/05/2025","20/08/2025",""
"Him Teknoforge","208.25","(-2.50%)","0.50","28/07/2025","20/08/2025",""
